geno	condition	lab	"total number
of leaves"
dellap	LPM	dellap_LPM	12
dellap	LPM	dellap_LPM	13
dellap	LP	dellap_LP	12
dellap	LP	dellap_LP	12
dellap	LP	dellap_LP	12
dellap	LP	dellap_LP	11
dellap	LP	dellap_LP	11
dellap	LP	dellap_LP	11
dellap	LP	dellap_LP	11
dellap	LP	dellap_LP	10
dellap	LP	dellap_LP	10
dellap	LP	dellap_LP	10
dellap	LP	dellap_LP	10
dellap	LP	dellap_LP	10
dellap	LP	dellap_LP	9
dellap	LP	dellap_LP	9
dellap	LP	dellap_LP	9
dellap	LP	dellap_LP	9
dellap	LP	dellap_LP	9
dellap	LP	dellap_LP	8
dellap	LP	dellap_LP	8
dellap	LP	dellap_LP	8
dellap	LP	dellap_LP	8
dellap	LP	dellap_LP	8
dellap	LP	dellap_LP	7
dellap	LP	dellap_LP	12
dde2	NCM	dde2_NCM	13
dde2	NCM	dde2_NCM	14
dde2	NCM	dde2_NCM	14
dde2	NCM	dde2_NCM	14
dde2	NCM	dde2_NCM	14
dde2	NCM	dde2_NCM	14
dde2	NCM	dde2_NCM	14
dde2	NCM	dde2_NCM	14
dde2	NCM	dde2_NCM	13
dde2	NCM	dde2_NCM	13
dde2	NCM	dde2_NCM	13
dde2	NCM	dde2_NCM	13
dde2	NCM	dde2_NCM	13
dde2	NCM	dde2_NCM	12
dde2	NCM	dde2_NCM	12
dde2	NCM	dde2_NCM	12
dde2	NCM	dde2_NCM	12
dde2	NCM	dde2_NCM	12
dde2	NCM	dde2_NCM	12
dde2	NCM	dde2_NCM	12
dde2	NCM	dde2_NCM	11
dde2	NCM	dde2_NCM	11
dde2	NCM	dde2_NCM	15
dde2	NCM	dde2_NCM	14
dde2	NCM	dde2_NCM	15
dde2	NCM	dde2_NCM	16
dde2	NCM	dde2_NCM	15
dde2	NC	dde2_NC	11
dde2	NC	dde2_NC	11
dde2	NC	dde2_NC	10
dde2	NC	dde2_NC	10
dde2	NC	dde2_NC	9
dde2	NC	dde2_NC	14
dde2	NC	dde2_NC	14
dde2	NC	dde2_NC	15
dde2	NC	dde2_NC	13
dde2	NC	dde2_NC	15
dde2	NC	dde2_NC	15
dde2	NC	dde2_NC	14
dde2	NC	dde2_NC	14
dde2	NC	dde2_NC	13
dde2	NC	dde2_NC	13
dde2	NC	dde2_NC	13
dde2	NC	dde2_NC	13
dde2	NC	dde2_NC	13
dde2	NC	dde2_NC	12
dde2	NC	dde2_NC	12
dde2	NC	dde2_NC	11
dde2	NC	dde2_NC	11
dde2	NC	dde2_NC	10
dde2	NC	dde2_NC	10
dde2	NC	dde2_NC	11
dde2	NC	dde2_NC	12
dde2	NC	dde2_NC	13
dde2	LPM	dde2_LPM	10
dde2	LPM	dde2_LPM	9
dde2	LPM	dde2_LPM	12
dde2	LPM	dde2_LPM	12
dde2	LPM	dde2_LPM	12
dde2	LPM	dde2_LPM	12
dde2	LPM	dde2_LPM	12
dde2	LPM	dde2_LPM	12
dde2	LPM	dde2_LPM	12
dde2	LPM	dde2_LPM	11
dde2	LPM	dde2_LPM	11
dde2	LPM	dde2_LPM	11
dde2	LPM	dde2_LPM	11
dde2	LPM	dde2_LPM	11
dde2	LPM	dde2_LPM	10
dde2	LPM	dde2_LPM	10
dde2	LPM	dde2_LPM	8
dde2	LPM	dde2_LPM	10
dde2	LPM	dde2_LPM	8
dde2	LPM	dde2_LPM	10
dde2	LPM	dde2_LPM	8
dde2	LPM	dde2_LPM	10
dde2	LPM	dde2_LPM	8
dde2	LPM	dde2_LPM	9
dde2	LPM	dde2_LPM	7
dde2	LPM	dde2_LPM	9
dde2	LPM	dde2_LPM	9
dde2	LP	dde2_LP	10
dde2	LP	dde2_LP	9
dde2	LP	dde2_LP	9
dde2	LP	dde2_LP	13
dde2	LP	dde2_LP	12
dde2	LP	dde2_LP	12
dde2	LP	dde2_LP	12
dde2	LP	dde2_LP	12
dde2	LP	dde2_LP	11
dde2	LP	dde2_LP	11
dde2	LP	dde2_LP	11
dde2	LP	dde2_LP	11
dde2	LP	dde2_LP	11
dde2	LP	dde2_LP	11
dde2	LP	dde2_LP	11
dde2	LP	dde2_LP	10
dde2	LP	dde2_LP	10
dde2	LP	dde2_LP	9
dde2	LP	dde2_LP	9
dde2	LP	dde2_LP	9
dde2	LP	dde2_LP	9
cry1cry2	NCM	cry1cry2_NCM	15
cry1cry2	NCM	cry1cry2_NCM	14
