lab	shootfreshweight	condition	rep	geno	lab1
SC	0.0319	C	VI	myc2	myc2_SC
SC	0.0334	C	VI	myc2	myc2_SC
SC	0.0338	C	VI	myc2	myc2_SC
SC	0.019	C	VI	myc2	myc2_SC
NC	0.0838	A	VI	jazq	jazq_NC
NC	0.0362	A	VI	jazq	jazq_NC
NC	0.0312	A	VI	jazq	jazq_NC
NC	0.0651	A	VI	jazq	jazq_NC
NC	0.0303	A	VI	jazq	jazq_NC
NC	0.0341	A	VI	jazq	jazq_NC
NC	0.0443	A	VI	jazq	jazq_NC
NC	0.03	A	VI	jazq	jazq_NC
NC	0.016	A	VI	jazq	jazq_NC
SC	0.0302	C	VI	jazq	jazq_SC
SC	0.0225	C	VI	jazq	jazq_SC
SC	0.0123	C	VI	jazq	jazq_SC
SC	0.0201	C	VI	jazq	jazq_SC
SC	0.0236	C	VI	jazq	jazq_SC
SC	0.0127	C	VI	jazq	jazq_SC
SC	0.0215	C	VI	jazq	jazq_SC
SC	0.0371	C	VI	jazq	jazq_SC
SC	0.0262	C	VI	jazq	jazq_SC
NC	0.0554	A	VI	della	della_NC
NC	0.0388	A	VI	della	della_NC
NC	0.0195	A	VI	della	della_NC
NC	0.057	A	VI	della	della_NC
NC	0.0866	A	VI	della	della_NC
NC	0.0653	A	VI	della	della_NC
NC	0.0691	A	VI	della	della_NC
NC	0.0608	A	VI	della	della_NC
NC	0.0519	A	VI	della	della_NC
SC	0.0247	C	VI	della	della_SC
SC	0.0217	C	VI	della	della_SC
SC	0.0113	C	VI	della	della_SC
SC	0.0331	C	VI	della	della_SC
SC	0.0317	C	VI	della	della_SC
SC	0.0254	C	VI	della	della_SC
SC	0.0201	C	VI	della	della_SC
SC	0.0173	C	VI	della	della_SC
SC	0.0116	C	VI	della	della_SC
NC	0.0525	A	VI	cry1cry2	cry1cry2_NC
NC	0.0283	A	VI	cry1cry2	cry1cry2_NC
NC	0.0175	A	VI	cry1cry2	cry1cry2_NC
NC	0.0474	A	VI	cry1cry2	cry1cry2_NC
NC	0.0273	A	VI	cry1cry2	cry1cry2_NC
NC	0.0193	A	VI	cry1cry2	cry1cry2_NC
NC	0.0623	A	VI	cry1cry2	cry1cry2_NC
NC	0.038	A	VI	cry1cry2	cry1cry2_NC
NC	0.0393	A	VI	cry1cry2	cry1cry2_NC
SC	0.0148	C	VI	cry1cry2	cry1cry2_SC
SC	0.0089	C	VI	cry1cry2	cry1cry2_SC
SC	0.011	C	VI	cry1cry2	cry1cry2_SC
SC	0.014	C	VI	cry1cry2	cry1cry2_SC
SC	0.0074	C	VI	cry1cry2	cry1cry2_SC
SC	0.0056	C	VI	cry1cry2	cry1cry2_SC
