NC_N_Root_1	NC_N_Root_2	NC_N_Root_3	NC_N_Shoot_1	NC_N_Shoot_2	NC_N_Shoot_3	SC_N_Root_1	SC_N_Root_2	SC_N_Root_3	SC_N_Shoot_1	SC_N_Shoot_2	SC_N_Shoot_3	NC_Y_Root_1	NC_Y_Root_2	NC_Y_Root_3	NC_Y_Shoot_1	NC_Y_Shoot_2	NC_Y_Shoot_3	SC_Y_Root_1	SC_Y_Root_2	SC_Y_Root_3	SC_Y_Shoot_1	SC_Y_Shoot_2	SC_Y_Shoot_3
AT1G01670	1.5958	1.6415	0.9286	2.2953	2.6442	1.8469	1.5052	1.1366	0.9645	1.5355	1.5025	1.4447	2.5314	2.1255	2.0764	2.4491	2.3208	2.3242	1.5197	1.7293	1.7	1.1355	1.4668	0.8285
AT1G01680	0.7646	0.0565	0.2164	-5.0356	-1.1391	-1.212	0.4453	-0.274	0.2153	-4.4868	-2.198	-1.5351	0.8616	0.65	0.7096	0.9874	1.0456	1.5081	0.7828	0.4637	-0.3426	0.65	0.4027	-1.856
AT1G01690	2.7692	2.4289	2.5867	2.1443	2.0059	2.041	2.9246	3.0444	2.96	2.0523	2.4459	2.4139	1.8894	1.7175	2.3444	1.7243	1.8319	1.9282	2.3677	2.5165	2.5604	1.4515	1.6621	2.3024
AT1G01695	-2.0428	-1.7349	-2.5308	-0.9482	-1.1391	-0.475	-3.1154	-5.6316	-2.1693	0.0367	-0.4324	-0.3127	-2.5978	-1.2919	-1.6638	-1.1451	-1.156	-0.7347	-2.5184	-1.6314	-1.0796	-2.1573	-1.8344	-0.9629
AT1G01700	-0.076	0.1193	-0.1287	0.519	-0.0847	-0.1647	-0.6825	-0.077	-0.1298	0.4674	0.7655	0.3393	-0.5472	-0.5857	-0.7309	-0.322	0.1466	-0.2493	0.0318	-0.5673	-0.899	0.65	-0.1181	-1.4935
AT1G01710	5.2265	5.2327	5.2308	5.6863	5.627	5.5996	5.0087	5.0801	5.1233	5.6386	5.6235	5.5722	5.2396	5.2683	5.1353	5.5776	5.5637	5.6122	4.8653	4.9576	4.9516	5.4995	5.6262	5.6069
AT1G01720	7.0488	6.9653	6.9958	5.2897	4.7952	4.9593	6.8132	6.7416	6.9048	4.9033	4.6625	4.7687	6.561	6.8452	6.7351	5.8189	6.4922	5.1015	5.7703	5.7285	5.8472	3.9678	4.1098	3.8325
AT1G01725	2.5905	2.9178	2.6334	2.5418	1.9286	2.5032	2.4514	2.4183	2.4873	2.3587	2.4459	2.3502	2.5196	2.6048	2.4081	2.4119	2.6445	2.6345	2.2056	2.2579	2.4144	1.5431	1.9281	2.3919
AT1G01730	4.7981	4.8185	4.8529	4.2931	4.0028	3.8555	5.0149	4.8891	4.8194	4.2847	4.2383	4.2865	4.7331	4.965	4.7238	4.1961	4.2703	4.238	4.5826	4.6285	4.7018	4.1967	3.909	4.0405
AT1G01740	2.6115	2.4412	2.5011	3.8378	3.9581	3.9712	2.2837	2.1563	2.1446	3.8839	4.1419	4.1745	2.7496	2.8653	2.4692	3.7947	3.5333	3.7972	2.3537	2.6026	2.6208	3.9843	4.1624	4.179
AT1G01750	3.951	4.529	3.931	-5.0356	-4.8396	-3.5339	4.7413	4.1416	4.3698	-2.1649	-4.5199	-2.3831	4.2187	4.2167	4.2409	-4.8455	-5.0629	-4.6416	5.1057	4.679	4.6628	-2.8943	-4.6417	-4.6634
AT1G01760	2.1631	2.3395	2.1295	2.399	2.455	2.2474	2.0465	2.34	2.6323	2.2546	2.3003	2.1404	2.5314	2.5739	2.2946	2.2098	2.1368	2.4137	2.1899	2.6302	2.3622	2.2889	2.4351	2.7203
AT1G01770	4.8365	4.6952	4.5822	4.8516	4.8061	4.7744	4.0077	4.1283	4.3279	4.6086	4.443	4.7317	4.9133	5.0291	4.5474	4.9953	4.5899	4.9564	3.602	3.7515	3.541	4.4366	4.4953	4.2585
